pais,cod_zona,cod_ruta,desc_marca,objetivo_clientes
GT,10002,10011,D GUSSTO,46
GT,10002,10012,BIG,155
GT,10002,10012,CIELO,164
GT,10002,10012,CIFRUT,155
GT,10002,10012,PULP,82
GT,10002,10012,SPORADE,146
GT,10002,10012,VOLT,100
GT,10002,10012,KR,55
GT,10002,10012,BIO ALOE,36
GT,10002,10012,D GUSSTO,46
GT,10002,10013,BIG,205
GT,10002,10013,CIELO,217
GT,10002,10013,CIFRUT,205
GT,10002,10013,PULP,108
GT,10002,10013,SPORADE,193
GT,10002,10013,VOLT,133
GT,10002,10013,KR,72
GT,10002,10013,BIO ALOE,48
GT,10002,10013,D GUSSTO,60
GT,10002,10014,BIG,176
GT,10002,10014,CIELO,186
GT,10002,10014,CIFRUT,176
GT,10002,10014,PULP,93
GT,10002,10014,SPORADE,166
GT,10002,10014,VOLT,114
GT,10002,10014,KR,62
GT,10002,10014,BIO ALOE,41
GT,10002,10014,D GUSSTO,52
GT,10002,10015,BIG,174
GT,10002,10015,CIELO,185
GT,10002,10015,CIFRUT,174
GT,10002,10015,PULP,92
GT,10002,10015,SPORADE,164
GT,10002,10015,VOLT,113
GT,10002,10015,KR,62
GT,10002,10015,BIO ALOE,41
GT,10002,10015,D GUSSTO,51
GT,10002,10016,BIG,189
GT,10002,10016,CIELO,200
GT,10002,10016,CIFRUT,189
GT,10002,10016,PULP,100
GT,10002,10016,SPORADE,178
GT,10002,10016,VOLT,122
GT,10002,10016,KR,67
GT,10002,10016,BIO ALOE,44
GT,10002,10016,D GUSSTO,56
GT,10002,10017,BIG,137
GT,10002,10017,CIELO,145
GT,10002,10017,CIFRUT,137
GT,10002,10017,PULP,72
GT,10002,10017,SPORADE,129
GT,10002,10017,VOLT,89
GT,10002,10017,KR,48
GT,10002,10017,BIO ALOE,32
GT,10002,10017,D GUSSTO,40
GT,10003,10018,BIG,208
GT,10003,10018,CIELO,221
GT,10003,10018,CIFRUT,208
GT,10003,10018,PULP,110
GT,10003,10018,SPORADE,196
GT,10003,10018,VOLT,135
GT,10003,10018,KR,74
GT,10003,10018,BIO ALOE,49
GT,10003,10018,D GUSSTO,61
GT,10003,10019,BIG,184
GT,10003,10019,CIELO,194
GT,10003,10019,CIFRUT,184
GT,10003,10019,PULP,97
GT,10003,10019,SPORADE,173
GT,10003,10019,VOLT,119
GT,10003,10019,KR,65
GT,10003,10019,BIO ALOE,43
GT,10003,10019,D GUSSTO,54
GT,10003,10020,BIG,185
