pais,articulo,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25
PE,598780,,,,,,,,,,,,,,,,,,,,,,,,,
PE,598987,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599064,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599104,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599106,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599115,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599166,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599181,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599215,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599236,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599239,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599241,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599288,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599301,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599310,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599314,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599331,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599339,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599362,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599365,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599368,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599372,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,
PE,599392,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599394,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,,,,,,,,
PE,599412,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599416,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599439,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599495,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599514,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599515,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599517,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599531,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599532,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599548,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,,,,,,,,
PE,599627,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599662,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599667,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599670,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599706,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599708,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599709,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599753,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599822,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599824,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599839,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599842,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599869,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599892,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599894,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599916,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599922,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599923,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599924,,,,,,,,,,,,,,,,,,,,,,,,,
